Subzona,NDVI_mean_filtered,n_filtered,year,month,sample,NDVI_mean_filtered_norm
Bosques_con_muerdago_2,0.38333049313212836,3267,2020,12,2,0.6916652465660642
Bosques_con_muerdago_3,0.6249922914495896,32886,2020,12,2,0.8124961457247948
Bosques_densos_pino_oyamel,0.6010215214480524,29795,2020,12,2,0.8005107607240263
Mariposa_monarca,0.4111310062525666,554,2020,12,2,0.7055655031262833
Parque_venados,,60,2020,12,2,
Toluca,0.5349475618276616,15966,2020,12,2,0.7674737809138308
Bosques_con_muerdago_2,0.6630152696693266,3266,2021,1,2,0.8315076348346633
Bosques_con_muerdago_3,0.4352204115080283,32903,2021,1,2,0.7176102057540141
Bosques_densos_pino_oyamel,0.5141811470764964,29789,2021,1,2,0.7570905735382483
Mariposa_monarca,0.31241488529711353,554,2021,1,2,0.6562074426485568
Parque_venados,0.2783031533161799,60,2021,1,2,0.63915157665809
Toluca,0.6756702571458512,15964,2021,1,2,0.8378351285729255
Bosques_con_muerdago_2,0.5502387084650858,3263,2021,2,2,0.775119354232543
Bosques_con_muerdago_3,0.6162117011307464,32905,2021,2,2,0.8081058505653732
Bosques_densos_pino_oyamel,0.60787261103902,29778,2021,2,2,0.80393630551951
Mariposa_monarca,0.7966177685653673,549,2021,2,2,0.8983088842826836
Parque_venados,0.34600409777725444,59,2021,2,2,0.6730020488886272
Toluca,0.490663622849708,15966,2021,2,2,0.7453318114248539
Bosques_con_muerdago_2,0.537512881196622,3254,2021,3,2,0.7687564405983109
Bosques_con_muerdago_3,0.5608842404312068,32905,2021,3,2,0.7804421202156033
Bosques_densos_pino_oyamel,0.5727427218713795,29794,2021,3,2,0.7863713609356897
Mariposa_monarca,0.7326778597128925,551,2021,3,2,0.8663389298564462
Parque_venados,0.3190794721537945,59,2021,3,2,0.6595397360768973
Toluca,0.4945856586138259,15966,2021,3,2,0.747292829306913
Bosques_con_muerdago_2,0.5422569019923769,3252,2021,4,1,0.7711284509961884
Bosques_con_muerdago_3,0.5421399790960513,32905,2021,4,1,0.7710699895480256
Bosques_densos_pino_oyamel,0.5712482702665641,29795,2021,4,1,0.785624135133282
Mariposa_monarca,0.7053666286379378,550,2021,4,1,0.8526833143189689
Parque_venados,0.32647953343157676,59,2021,4,1,0.6632397667157883
Toluca,0.5144003259262072,15966,2021,4,1,0.7572001629631036
Bosques_con_muerdago_2,0.5725311724039225,3267,2021,5,2,0.7862655862019612
Bosques_con_muerdago_3,0.5269072734839588,32895,2021,5,2,0.7634536367419794
Bosques_densos_pino_oyamel,0.4211835037503251,29789,2021,5,2,0.7105917518751625
Mariposa_monarca,0.6604709668228259,554,2021,5,2,0.830235483411413
Parque_venados,,60,2021,5,2,
Toluca,0.5086416418318401,15966,2021,5,2,0.75432082091592
Bosques_con_muerdago_2,0.30866549280994143,3263,2021,6,2,0.6543327464049707
Bosques_con_muerdago_3,0.45248491769806215,32877,2021,6,2,0.726242458849031
Bosques_densos_pino_oyamel,0.5331399965249549,29796,2021,6,2,0.7665699982624774
Mariposa_monarca,,554,2021,6,2,
Parque_venados,,60,2021,6,2,
Toluca,0.4487744159157337,15924,2021,6,2,0.7243872079578668
Bosques_con_muerdago_2,0.3893861351553615,3247,2021,7,1,0.6946930675776808
Bosques_con_muerdago_3,0.3927940233086897,32900,2021,7,1,0.6963970116543449
Bosques_densos_pino_oyamel,0.4472961219813047,29796,2021,7,1,0.7236480609906524
Mariposa_monarca,,554,2021,7,1,
Parque_venados,,60,2021,7,1,
Toluca,0.46380785572308497,15966,2021,7,1,0.7319039278615425
Bosques_con_muerdago_2,0.6346974104318515,3223,2021,8,1,0.8173487052159257
Bosques_con_muerdago_3,0.6939522644094167,32764,2021,8,1,0.8469761322047084
Bosques_densos_pino_oyamel,0.6578864655871681,29782,2021,8,1,0.8289432327935841
Mariposa_monarca,0.8082681321045931,543,2021,8,1,0.9041340660522965
Parque_venados,0.6011573173678838,60,2021,8,1,0.8005786586839418
Toluca,0.6808568524348797,15837,2021,8,1,0.8404284262174399
Bosques_con_muerdago_2,0.433814895883745,3267,2021,9,2,0.7169074479418724
Bosques_con_muerdago_3,0.43312030843850735,32905,2021,9,2,0.7165601542192537
Bosques_densos_pino_oyamel,0.32947252008068806,29796,2021,9,2,0.664736260040344
Mariposa_monarca,0.4209423392734291,554,2021,9,2,0.7104711696367145
Parque_venados,0.3433551753942783,60,2021,9,2,0.6716775876971391
Toluca,0.49497660951744876,15966,2021,9,2,0.7474883047587244
